Price,Close,High,Low,Open,Volume
Ticker,^NDX,^NDX,^NDX,^NDX,^NDX
Datetime,,,,,
2026-04-24 19:57:00+00:00,27305.650390625,27305.650390625,27296.708984375,27296.708984375,3744000
2026-04-24 19:58:00+00:00,27302.23828125,27308.3671875,27302.23828125,27304.072265625,11345000
2026-04-24 19:59:00+00:00,27298.95703125,27302.138671875,27293.880859375,27301.1953125,4062000
2026-04-27 13:30:00+00:00,27249.146484375,27272.091796875,27246.880859375,27272.091796875,0
2026-04-27 13:31:00+00:00,27250.466796875,27252.421875,27231.6640625,27239.73046875,7420265
2026-04-27 13:32:00+00:00,27261.3515625,27261.3515625,27240.2421875,27249.38671875,11158499
2026-04-27 13:33:00+00:00,27237.29296875,27254.7109375,27237.29296875,27254.7109375,10202327
2026-04-27 13:34:00+00:00,27240.541015625,27242.02734375,27234.26953125,27240.619140625,9994494
2026-04-27 13:35:00+00:00,27240.396484375,27242.650390625,27229.6171875,27239.755859375,10865738
2026-04-27 13:36:00+00:00,27251.416015625,27251.416015625,27224.599609375,27231.259765625,7783407
2026-04-27 13:37:00+00:00,27269.0859375,27272.705078125,27263.216796875,27263.216796875,6914312
2026-04-27 13:38:00+00:00,27261.892578125,27275.375,27256.94921875,27266.91015625,6875533
2026-04-27 13:39:00+00:00,27256.029296875,27268.984375,27252.634765625,27268.984375,6551940
2026-04-27 13:40:00+00:00,27242.912109375,27264.212890625,27239.435546875,27253.07421875,6032157
2026-04-27 13:41:00+00:00,27257.001953125,27257.001953125,27241.140625,27249.794921875,6099008
2026-04-27 13:42:00+00:00,27231.01953125,27250.0390625,27231.01953125,27250.0390625,5398444
2026-04-27 13:43:00+00:00,27236.439453125,27236.439453125,27226.9921875,27235.486328125,6018770
2026-04-27 13:44:00+00:00,27250.73828125,27258.1484375,27244.896484375,27245.43359375,6806321
2026-04-27 13:45:00+00:00,27221.7109375,27248.59375,27221.7109375,27246.02734375,6324478
2026-04-27 13:46:00+00:00,27229.83984375,27232.1171875,27218.771484375,27224.6875,6376713
2026-04-27 13:47:00+00:00,27206.96875,27228.09375,27189.818359375,27228.09375,6389370
2026-04-27 13:48:00+00:00,27228.2734375,27228.2734375,27210.0078125,27210.0078125,5579561
2026-04-27 13:49:00+00:00,27210.599609375,27235.314453125,27210.599609375,27235.314453125,5964991
2026-04-27 13:50:00+00:00,27181.4140625,27211.1171875,27178.56640625,27211.1171875,6347550
2026-04-27 13:51:00+00:00,27166.150390625,27182.990234375,27163.810546875,27182.990234375,6582906
2026-04-27 13:52:00+00:00,27173.515625,27173.515625,27161.197265625,27166.326171875,6181248
2026-04-27 13:53:00+00:00,27206.36328125,27210.70703125,27186.779296875,27186.779296875,6246483
2026-04-27 13:54:00+00:00,27238.943359375,27240.189453125,27202.224609375,27202.224609375,4847120
2026-04-27 13:55:00+00:00,27245.994140625,27258.603515625,27245.994140625,27246.587890625,5716969
2026-04-27 13:56:00+00:00,27250.564453125,27257.23828125,27238.443359375,27248.796875,4605896
2026-04-27 13:57:00+00:00,27260.22265625,27263.57421875,27255.310546875,27257.4140625,4877558
2026-04-27 13:58:00+00:00,27269.169921875,27272.45703125,27262.556640625,27262.556640625,4370815
2026-04-27 13:59:00+00:00,27270.30859375,27278.2734375,27268.615234375,27268.615234375,4589686
2026-04-27 14:00:00+00:00,27261.05859375,27266.333984375,27255.90234375,27266.333984375,7129657
2026-04-27 14:01:00+00:00,27273.76953125,27273.76953125,27260.2890625,27261.853515625,4535503
2026-04-27 14:02:00+00:00,27246.5,27259.443359375,27246.5,27257.86328125,5059354
2026-04-27 14:03:00+00:00,27262.900390625,27262.900390625,27248.458984375,27248.458984375,4340864
2026-04-27 14:04:00+00:00,27250.509765625,27267.927734375,27250.041015625,27262.240234375,3833089
2026-04-27 14:05:00+00:00,27238.841796875,27247.630859375,27234.79296875,27247.630859375,4831831
2026-04-27 14:06:00+00:00,27263.212890625,27266.203125,27252.1015625,27256.927734375,3723377
2026-04-27 14:07:00+00:00,27246.84765625,27256.51953125,27239.73828125,27254.9140625,3226189
2026-04-27 14:08:00+00:00,27246.54296875,27254.966796875,27246.54296875,27251.5859375,3150606
2026-04-27 14:09:00+00:00,27231.0546875,27243.796875,27231.0546875,27241.033203125,2943541
2026-04-27 14:10:00+00:00,27213.01171875,27232.55859375,27212.568359375,27232.55859375,4492214
2026-04-27 14:11:00+00:00,27232.203125,27232.203125,27212.861328125,27212.861328125,3756992
2026-04-27 14:12:00+00:00,27242.658203125,27250.626953125,27236.884765625,27236.884765625,3663042
2026-04-27 14:13:00+00:00,27249.52734375,27249.52734375,27240.13671875,27246.30078125,3412064
2026-04-27 14:14:00+00:00,27252.423828125,27256.439453125,27244.353515625,27249.1484375,2910513
2026-04-27 14:15:00+00:00,27232.44921875,27256.54296875,27232.44921875,27255.3046875,3638382
2026-04-27 14:16:00+00:00,27227.8203125,27233.802734375,27226.169921875,27232.615234375,3307812
2026-04-27 14:17:00+00:00,27221.3515625,27235.11328125,27221.3515625,27229.9921875,3458489
2026-04-27 14:18:00+00:00,27222.78515625,27223.52734375,27220.296875,27220.703125,3455839
2026-04-27 14:19:00+00:00,27224.099609375,27235.13671875,27224.099609375,27227.822265625,3845078
2026-04-27 14:20:00+00:00,27222.173828125,27227.837890625,27222.173828125,27224.130859375,3497640
2026-04-27 14:21:00+00:00,27231.96875,27237.70703125,27227.775390625,27228.763671875,3043113
2026-04-27 14:22:00+00:00,27232.3125,27232.3125,27224.19921875,27231.375,2514310
2026-04-27 14:23:00+00:00,27226.9375,27234.046875,27226.9375,27228.34375,2816902
2026-04-27 14:24:00+00:00,27234.0546875,27234.71875,27220.87109375,27222.88671875,2644309
2026-04-27 14:25:00+00:00,27236.115234375,27242.931640625,27235.091796875,27235.091796875,3062742
2026-04-27 14:26:00+00:00,27222.537109375,27242.9609375,27222.537109375,27236.720703125,3578135
2026-04-27 14:27:00+00:00,27223.015625,27227.041015625,27220.896484375,27227.037109375,3109289
2026-04-27 14:28:00+00:00,27224.73828125,27233.86328125,27222.5859375,27223.57421875,3467652
2026-04-27 14:29:00+00:00,27223.68359375,27228.494140625,27219.515625,27228.494140625,2980248
2026-04-27 14:30:00+00:00,27199.859375,27221.162109375,27199.859375,27221.162109375,3912337
2026-04-27 14:31:00+00:00,27193.04296875,27206.2265625,27186.953125,27198.234375,4228452
2026-04-27 14:32:00+00:00,27187.24609375,27191.341796875,27182.642578125,27191.341796875,3823032
2026-04-27 14:33:00+00:00,27200.34375,27209.564453125,27185.505859375,27185.505859375,3938000
2026-04-27 14:34:00+00:00,27216.71875,27216.71875,27196.86328125,27204.490234375,3300192
2026-04-27 14:35:00+00:00,27218.94921875,27224.93359375,27216.072265625,27216.966796875,3595408
2026-04-27 14:36:00+00:00,27252.39453125,27260.357421875,27249.416015625,27254.716796875,4808124
2026-04-27 14:37:00+00:00,27241.783203125,27253.107421875,27239.83203125,27252.240234375,3228139
2026-04-27 14:38:00+00:00,27234.880859375,27243.7734375,27232.66015625,27242.556640625,2679160
2026-04-27 14:39:00+00:00,27237.681640625,27237.681640625,27227.955078125,27233.130859375,2617077
2026-04-27 14:40:00+00:00,27233.404296875,27246.185546875,27233.404296875,27241.890625,2956563
2026-04-27 14:41:00+00:00,27223.4609375,27233.42578125,27223.4609375,27233.02734375,2385016
2026-04-27 14:42:00+00:00,27224.14453125,27231.875,27223.669921875,27223.669921875,2145039
2026-04-27 14:43:00+00:00,27227.18359375,27227.18359375,27219.927734375,27224.060546875,1938171
2026-04-27 14:44:00+00:00,27243.89453125,27246.544921875,27229.59375,27229.59375,2375217
2026-04-27 14:45:00+00:00,27220.404296875,27241.662109375,27220.404296875,27241.662109375,2500178
2026-04-27 14:46:00+00:00,27228.619140625,27228.619140625,27216.205078125,27224.41796875,2562860
2026-04-27 14:47:00+00:00,27230.5625,27231.75,27225.484375,27226.236328125,2365756
2026-04-27 14:48:00+00:00,27234.404296875,27240.212890625,27233.6328125,27233.6328125,2010401
2026-04-27 14:49:00+00:00,27237.33203125,27237.494140625,27229.205078125,27231.423828125,2189346
2026-04-27 14:50:00+00:00,27240.236328125,27247.248046875,27235.333984375,27235.333984375,2187564
2026-04-27 14:51:00+00:00,27242.404296875,27251.548828125,27239.0078125,27239.0078125,2497557
2026-04-27 14:52:00+00:00,27220.82421875,27236.453125,27218.474609375,27236.453125,2722721
2026-04-27 14:53:00+00:00,27218.431640625,27230.44921875,27218.26171875,27222.986328125,2811322
2026-04-27 14:54:00+00:00,27219.76171875,27219.76171875,27210.3984375,27215.423828125,2231259
2026-04-27 14:55:00+00:00,27224.83203125,27226.9296875,27220.53515625,27223.47265625,2334889
2026-04-27 14:56:00+00:00,27221.72265625,27223.0,27210.67578125,27221.6796875,2280017
2026-04-27 14:57:00+00:00,27231.439453125,27234.908203125,27219.095703125,27219.095703125,2643581
2026-04-27 14:58:00+00:00,27229.833984375,27235.90625,27229.73828125,27234.705078125,1939257
2026-04-27 14:59:00+00:00,27231.015625,27231.015625,27223.462890625,27223.462890625,2040569
2026-04-27 15:00:00+00:00,27236.39453125,27239.259765625,27233.63671875,27233.63671875,2249075
2026-04-27 15:01:00+00:00,27228.80078125,27236.029296875,27228.80078125,27233.384765625,1997836
2026-04-27 15:02:00+00:00,27219.564453125,27226.7890625,27214.2890625,27226.7890625,2335633
2026-04-27 15:03:00+00:00,27200.583984375,27224.37109375,27199.517578125,27220.0703125,1857932
2026-04-27 15:04:00+00:00,27198.8515625,27204.380859375,27198.8515625,27201.7265625,2801494
2026-04-27 15:05:00+00:00,27210.58984375,27210.58984375,27194.513671875,27198.392578125,2607400
2026-04-27 15:06:00+00:00,27210.40234375,27215.51953125,27206.033203125,27208.576171875,2507517
2026-04-27 15:07:00+00:00,27208.716796875,27210.345703125,27200.6171875,27209.177734375,2577683
2026-04-27 15:08:00+00:00,27224.001953125,27224.654296875,27216.73828125,27218.767578125,2831841
2026-04-27 15:09:00+00:00,27221.2265625,27229.515625,27221.2265625,27225.462890625,2684251
2026-04-27 15:10:00+00:00,27222.31640625,27227.7265625,27218.919921875,27218.919921875,1950303
2026-04-27 15:11:00+00:00,27217.83203125,27221.892578125,27210.255859375,27221.892578125,2245907
2026-04-27 15:12:00+00:00,27208.66796875,27221.6796875,27208.66796875,27217.310546875,1782186
2026-04-27 15:13:00+00:00,27206.486328125,27211.759765625,27206.17578125,27210.296875,1947384
2026-04-27 15:14:00+00:00,27202.267578125,27205.57421875,27200.33203125,27205.57421875,1919133
2026-04-27 15:15:00+00:00,27209.53125,27210.73828125,27198.486328125,27201.828125,2337636
2026-04-27 15:16:00+00:00,27214.029296875,27216.298828125,27206.955078125,27209.66015625,1961901
2026-04-27 15:17:00+00:00,27207.025390625,27218.861328125,27207.025390625,27214.01171875,2346726
2026-04-27 15:18:00+00:00,27200.814453125,27213.583984375,27200.013671875,27208.689453125,1806576
2026-04-27 15:19:00+00:00,27198.048828125,27205.654296875,27198.048828125,27201.86328125,1873120
2026-04-27 15:20:00+00:00,27202.12109375,27203.337890625,27201.640625,27201.73828125,1838838
2026-04-27 15:21:00+00:00,27185.048828125,27201.94921875,27185.048828125,27199.783203125,1818264
2026-04-27 15:22:00+00:00,27181.73046875,27184.134765625,27173.12890625,27181.1875,2827504
2026-04-27 15:23:00+00:00,27184.71484375,27184.71484375,27176.373046875,27178.015625,2258769
2026-04-27 15:24:00+00:00,27182.70703125,27187.427734375,27181.666015625,27187.427734375,2123736
2026-04-27 15:25:00+00:00,27182.009765625,27184.62890625,27175.9453125,27184.62890625,2373331
2026-04-27 15:26:00+00:00,27190.310546875,27191.859375,27180.884765625,27180.884765625,2043455
2026-04-27 15:27:00+00:00,27198.9296875,27198.9296875,27191.853515625,27191.853515625,1837037
2026-04-27 15:28:00+00:00,27201.46484375,27203.05859375,27198.755859375,27201.134765625,1813720
2026-04-27 15:29:00+00:00,27205.83984375,27206.509765625,27198.55078125,27199.92578125,1748276
2026-04-27 15:30:00+00:00,27221.40234375,27221.40234375,27206.15234375,27206.15234375,1988163
2026-04-27 15:31:00+00:00,27214.861328125,27219.25,27212.681640625,27219.25,2423127
2026-04-27 15:32:00+00:00,27203.9375,27214.869140625,27201.814453125,27214.869140625,1961503
2026-04-27 15:33:00+00:00,27204.693359375,27210.79296875,27202.66796875,27206.599609375,1899664
2026-04-27 15:34:00+00:00,27216.630859375,27217.814453125,27209.48046875,27209.818359375,2590133
2026-04-27 15:35:00+00:00,27212.302734375,27217.72265625,27209.720703125,27214.71484375,2244399
2026-04-27 15:36:00+00:00,27215.14453125,27218.779296875,27213.2265625,27213.791015625,2066464
2026-04-27 15:37:00+00:00,27215.58203125,27216.38671875,27211.349609375,27211.349609375,2278993
2026-04-27 15:38:00+00:00,27217.884765625,27220.6171875,27213.298828125,27216.33203125,1622038
2026-04-27 15:39:00+00:00,27224.34765625,27225.47265625,27217.7578125,27217.845703125,1870779
2026-04-27 15:40:00+00:00,27221.72265625,27225.484375,27220.732421875,27224.697265625,1916190
2026-04-27 15:41:00+00:00,27230.712890625,27233.0234375,27224.572265625,27224.572265625,1918021
2026-04-27 15:42:00+00:00,27239.21484375,27245.3515625,27231.744140625,27232.189453125,2083138
2026-04-27 15:43:00+00:00,27237.150390625,27237.9453125,27234.017578125,27237.9453125,2649927
2026-04-27 15:44:00+00:00,27235.8046875,27237.466796875,27234.546875,27235.71484375,1889222
2026-04-27 15:45:00+00:00,27227.880859375,27235.765625,27227.880859375,27234.837890625,2124610
2026-04-27 15:46:00+00:00,27227.693359375,27227.693359375,27223.822265625,27223.822265625,1930073
2026-04-27 15:47:00+00:00,27235.9921875,27237.275390625,27230.91796875,27230.91796875,2062104
2026-04-27 15:48:00+00:00,27241.0234375,27242.33984375,27235.4296875,27239.453125,2412618
2026-04-27 15:49:00+00:00,27228.068359375,27239.18359375,27227.544921875,27239.18359375,2312838
2026-04-27 15:50:00+00:00,27228.892578125,27228.892578125,27224.21484375,27226.67578125,1799457
2026-04-27 15:51:00+00:00,27234.689453125,27234.689453125,27228.57421875,27228.57421875,1673934
2026-04-27 15:52:00+00:00,27225.0546875,27232.291015625,27221.880859375,27232.291015625,1654146
2026-04-27 15:53:00+00:00,27225.33984375,27227.126953125,27222.826171875,27227.126953125,2022004
2026-04-27 15:54:00+00:00,27218.8359375,27223.615234375,27213.044921875,27223.615234375,1980744
2026-04-27 15:55:00+00:00,27220.30859375,27222.03125,27217.671875,27222.00390625,1566201
2026-04-27 15:56:00+00:00,27223.470703125,27224.150390625,27219.69921875,27222.0234375,1598366
2026-04-27 15:57:00+00:00,27219.244140625,27219.99609375,27216.083984375,27219.99609375,1561653
2026-04-27 15:58:00+00:00,27218.9453125,27224.853515625,27218.9453125,27220.525390625,1379881
2026-04-27 15:59:00+00:00,27226.146484375,27231.912109375,27217.724609375,27217.724609375,1846987
2026-04-27 16:00:00+00:00,27233.4921875,27239.0,27233.380859375,27233.69921875,3277388
2026-04-27 16:01:00+00:00,27222.626953125,27231.26953125,27219.576171875,27231.26953125,2680514
2026-04-27 16:02:00+00:00,27212.69921875,27224.923828125,27212.69921875,27223.095703125,1984937
2026-04-27 16:03:00+00:00,27214.423828125,27217.845703125,27213.822265625,27215.189453125,2623924
2026-04-27 16:04:00+00:00,27223.791015625,27224.904296875,27215.380859375,27215.380859375,1083505
2026-04-27 16:05:00+00:00,27223.328125,27225.572265625,27222.8203125,27223.30859375,1702127
2026-04-27 16:06:00+00:00,27228.634765625,27232.7421875,27223.921875,27223.921875,1726965
2026-04-27 16:07:00+00:00,27227.662109375,27229.810546875,27226.609375,27229.435546875,2359270
2026-04-27 16:08:00+00:00,27237.5234375,27239.037109375,27228.16015625,27228.16015625,3129406
2026-04-27 16:09:00+00:00,27234.66015625,27236.64453125,27233.771484375,27236.125,913482
2026-04-27 16:10:00+00:00,27237.97265625,27239.146484375,27232.109375,27235.80859375,2693656
2026-04-27 16:11:00+00:00,27244.392578125,27245.064453125,27235.98046875,27238.21875,804846
2026-04-27 16:12:00+00:00,27242.994140625,27247.19140625,27238.9140625,27244.951171875,2217287
2026-04-27 16:13:00+00:00,27240.08984375,27243.02734375,27239.9921875,27242.861328125,1902192
2026-04-27 16:14:00+00:00,27240.5546875,27240.62109375,27232.796875,27240.3046875,1794511
2026-04-27 16:15:00+00:00,27248.9765625,27249.58984375,27239.2421875,27239.75390625,2868086
2026-04-27 16:16:00+00:00,27250.439453125,27252.291015625,27246.65234375,27246.916015625,986427
2026-04-27 16:17:00+00:00,27247.248046875,27251.333984375,27244.4921875,27251.333984375,2520446
2026-04-27 16:18:00+00:00,27249.8125,27250.693359375,27243.171875,27248.3828125,844057
2026-04-27 16:19:00+00:00,27248.009765625,27252.708984375,27247.75,27249.66796875,1782702
2026-04-27 16:20:00+00:00,27246.158203125,27250.87890625,27242.70703125,27249.640625,1751582
2026-04-27 16:21:00+00:00,27246.7265625,27249.744140625,27244.34765625,27246.25,1610255
